Frequency (Hz)	Level (dB)
287.109375	-37.442760
287.841797	-37.074017
288.574219	-35.686317
289.306641	-36.648735
290.039062	-36.995098
290.771484	-36.039616
291.503906	-36.832565
292.236328	-35.535564
292.968750	-35.005386
293.701172	-34.960224
294.433594	-34.823917
295.166016	-34.437504
295.898438	-34.567234
296.630859	-34.697937
297.363281	-35.362556
298.095703	-35.372627
298.828125	-34.094475
299.560547	-35.205029
300.292969	-34.873692
301.025391	-35.710720
301.757812	-36.410236
302.490234	-36.064850
303.222656	-35.883373
303.955078	-35.940079
304.687500	-35.409546
305.419922	-35.679676
306.152344	-35.794689
306.884766	-35.154095
307.617188	-35.473888
308.349609	-34.227245
309.082031	-34.294052
309.814453	-33.858021
310.546875	-34.148899
311.279297	-32.948769
312.011719	-32.649300
312.744141	-33.642422
313.476562	-34.509563
314.208984	-35.780205
314.941406	-34.709888
315.673828	-34.727917
316.406250	-35.554050
317.138672	-36.200874
317.871094	-35.748306
318.603516	-35.023952
319.335938	-34.632168
320.068359	-34.003277
320.800781	-35.586128
321.533203	-34.837658
322.265625	-33.204266
322.998047	-33.327457
323.730469	-34.123554
324.462891	-35.447083
325.195312	-35.070232
325.927734	-36.463497
326.660156	-36.816555
327.392578	-36.564610
328.125000	-36.719383
328.857422	-36.707886
329.589844	-37.120186
330.322266	-36.736477
331.054688	-37.746510
331.787109	-37.677567
332.519531	-37.200001
333.251953	-37.770061
333.984375	-37.448803
334.716797	-38.261814
335.449219	-37.108990
336.181641	-37.266808
336.914062	-38.213219
337.646484	-38.829041
338.378906	-38.429741
339.111328	-40.173729
339.843750	-41.000397
340.576172	-40.195801
341.308594	-40.579720
342.041016	-41.985859
342.773438	-40.437817
343.505859	-38.358612
344.238281	-38.692345
344.970703	-37.859928
345.703125	-39.736668
346.435547	-39.027000
347.167969	-38.118130
347.900391	-38.000141
348.632812	-37.162319
349.365234	-35.355385
350.097656	-37.000641
350.830078	-38.768604
351.562500	-37.294247
352.294922	-39.147713
353.027344	-41.422478
353.759766	-41.710667
354.492188	-42.862782
355.224609	-43.689102
355.957031	-43.725346
356.689453	-44.688862
357.421875	-44.690205
358.154297	-43.775837
358.886719	-44.207012
359.619141	-43.406097
360.351562	-42.756142
361.083984	-42.962017
361.816406	-43.140575
362.548828	-42.491592
363.281250	-41.809128
364.013672	-43.079346
364.746094	-42.925240
365.478516	-43.240005
366.210938	-42.341995
366.943359	-41.837776
367.675781	-40.967613
368.408203	-41.518856
369.140625	-39.681408
369.873047	-40.669437
370.605469	-42.219193
371.337891	-42.004547
372.070312	-42.429626
372.802734	-41.663334
373.535156	-41.984169
374.267578	-41.936531
375.000000	-42.335331
375.732422	-41.190525
376.464844	-42.419418
377.197266	-42.512524
377.929688	-41.803299
378.662109	-42.990032
379.394531	-42.301849
380.126953	-42.842930
380.859375	-43.267727
381.591797	-42.640221
382.324219	-43.516766
383.056641	-43.857159
383.789062	-42.794510
384.521484	-42.364693
385.253906	-42.448868
385.986328	-42.311874
386.718750	-40.830357
387.451172	-40.092815
388.183594	-39.475269
388.916016	-38.232952
389.648438	-39.765949
390.380859	-40.331543
391.113281	-39.975319
391.845703	-40.782272
392.578125	-40.337807
393.310547	-39.572151
394.042969	-40.309597
394.775391	-39.267345
395.507812	-37.966095
396.240234	-39.920010
396.972656	-41.217861
397.705078	-40.322289
398.437500	-39.378544
399.169922	-37.860367
399.902344	-38.711067
400.634766	-38.238598
401.367188	-36.823277
402.099609	-38.060993
402.832031	-39.282326
403.564453	-38.894119
404.296875	-38.672844
405.029297	-39.070156
405.761719	-39.393665
406.494141	-39.848534
407.226562	-40.698246
407.958984	-40.753380
408.691406	-40.763458
409.423828	-41.675575
410.156250	-39.420181
410.888672	-40.358654
411.621094	-40.375011
412.353516	-38.443184
413.085938	-40.043522
413.818359	-41.014332
414.550781	-38.555477
415.283203	-40.174442
416.015625	-40.459251
416.748047	-40.407928
417.480469	-41.159897
418.212891	-40.822243
418.945312	-40.230804
419.677734	-41.917953
420.410156	-40.848007
421.142578	-41.935673
421.875000	-42.476849
422.607422	-41.736279
423.339844	-41.478127
424.072266	-42.029308
424.804688	-42.661030
425.537109	-41.912697
426.269531	-42.469921
427.001953	-42.051640
427.734375	-40.975628
428.466797	-41.673519
429.199219	-41.085445
429.931641	-41.813316
430.664062	-42.588863
431.396484	-42.529537
432.128906	-42.187756
432.861328	-43.660194
433.593750	-43.740616
434.326172	-43.587570
435.058594	-42.622730
435.791016	-42.207615
436.523438	-42.526653
437.255859	-42.745014
437.988281	-41.535740
438.720703	-41.288872
439.453125	-40.815899
440.185547	-40.242802
440.917969	-40.769615
441.650391	-40.337166
442.382812	-40.764751
443.115234	-40.069447
443.847656	-40.766556
444.580078	-41.854843
445.312500	-41.428051
446.044922	-42.601582
446.777344	-42.638939
447.509766	-43.144501
448.242188	-41.860325
448.974609	-42.586807
449.707031	-41.878578
450.439453	-42.609180
451.171875	-42.285854
451.904297	-41.735813
452.636719	-41.656864
453.369141	-40.971996
454.101562	-41.455334
454.833984	-40.804787
455.566406	-40.744659
456.298828	-41.453892
457.031250	-41.213413
457.763672	-40.770626
458.496094	-39.982113
459.228516	-40.830364
459.960938	-40.831223
460.693359	-40.614555
461.425781	-39.176346
462.158203	-39.089161
462.890625	-38.168907
463.623047	-39.121719
464.355469	-38.031971
465.087891	-38.214096
465.820312	-38.086662
466.552734	-36.965904
467.285156	-36.620289
468.017578	-35.819759
468.750000	-35.604492
469.482422	-36.003563
470.214844	-36.789551
470.947266	-36.779366
471.679688	-37.550522
472.412109	-38.249950
473.144531	-38.684795
473.876953	-37.359356
474.609375	-38.886745
475.341797	-38.693710
476.074219	-39.588451
476.806641	-39.094097
477.539062	-39.162537
478.271484	-38.255608
479.003906	-38.777599
479.736328	-39.212509
480.468750	-39.555077
481.201172	-39.451683
481.933594	-40.032307
482.666016	-39.229214
483.398438	-39.005478
484.130859	-39.126724
484.863281	-39.783371
485.595703	-40.355282
486.328125	-41.449211
487.060547	-40.980579
487.792969	-41.152008
488.525391	-40.841236
489.257812	-41.525379
489.990234	-42.296402
490.722656	-42.626759
491.455078	-41.533497
492.187500	-41.126228
492.919922	-41.193752
493.652344	-40.915833
494.384766	-41.477879
495.117188	-41.445004
495.849609	-42.171055
496.582031	-42.363823
497.314453	-42.976971
498.046875	-43.263813
498.779297	-43.025642
499.511719	-43.309040
500.244141	-43.236137
500.976562	-43.843044
501.708984	-43.582001
502.441406	-44.148052
503.173828	-44.331272
503.906250	-43.892105
504.638672	-43.862152
505.371094	-43.160896
506.103516	-44.054035
506.835938	-42.774288
507.568359	-43.713150
508.300781	-42.196018
509.033203	-43.094742
509.765625	-44.349434
510.498047	-45.909637
511.230469	-45.474819
511.962891	-45.238934
512.695312	-45.499878
513.427734	-43.650673
514.160156	-45.412189
514.892578	-46.061958
515.625000	-44.269741
516.357422	-44.358204
517.089844	-43.744415
517.822266	-43.380070
518.554688	-41.673042
519.287109	-40.333427
520.019531	-41.078796
520.751953	-41.796165
521.484375	-40.477673
522.216797	-39.419422
522.949219	-39.702885
523.681641	-39.871922
524.414062	-39.368046
525.146484	-41.245361
525.878906	-43.303024
526.611328	-42.445427
527.343750	-42.985554
528.076172	-43.418221
528.808594	-43.012703
529.541016	-44.126839
530.273438	-44.031826
531.005859	-44.046333
531.738281	-43.613754
532.470703	-43.591896
533.203125	-40.728008
533.935547	-41.073345
534.667969	-41.017368
535.400391	-41.284210
536.132812	-42.721321
536.865234	-42.545433
537.597656	-42.446701
538.330078	-42.175945
539.062500	-43.071747
539.794922	-43.888081
540.527344	-43.950447
541.259766	-43.992077
541.992188	-43.228298
542.724609	-42.572098
543.457031	-41.067020
544.189453	-40.938580
544.921875	-42.005959
545.654297	-40.925495
546.386719	-40.611591
547.119141	-39.762344
547.851562	-39.222195
548.583984	-39.144577
549.316406	-39.680096
550.048828	-41.099144
550.781250	-41.000145
551.513672	-40.504230
552.246094	-39.793095
552.978516	-39.624825
553.710938	-39.360897
554.443359	-39.427628
555.175781	-39.573860
555.908203	-40.535770
556.640625	-39.927963
557.373047	-41.944836
558.105469	-41.539513
558.837891	-40.593391
559.570312	-41.608505
560.302734	-42.136097
561.035156	-42.801712
561.767578	-42.858376
562.500000	-43.186989
563.232422	-44.035889
563.964844	-43.827274
564.697266	-44.628574
565.429688	-45.311565
566.162109	-45.529984
566.894531	-45.863811
567.626953	-44.854050
568.359375	-43.029568
569.091797	-44.029984
569.824219	-45.192867
570.556641	-46.373283
571.289062	-45.345043
572.021484	-44.498001
572.753906	-45.457657
573.486328	-44.017612
574.218750	-44.749447
574.951172	-45.402489
575.683594	-45.546711
576.416016	-45.092941
577.148438	-45.081020
577.880859	-45.740513
578.613281	-45.317661
579.345703	-46.404228
580.078125	-45.967632
580.810547	-46.097881
581.542969	-45.661819
582.275391	-45.986961
583.007812	-45.312954
583.740234	-42.612228
584.472656	-43.641800
585.205078	-41.908321
585.937500	-42.505035
586.669922	-42.871933
587.402344	-42.081303
588.134766	-42.580700
588.867188	-42.487854
589.599609	-41.941303
590.332031	-42.544277
591.064453	-42.437611
591.796875	-43.090553
592.529297	-43.319855
593.261719	-42.462978
593.994141	-43.085526
594.726562	-42.404942
595.458984	-42.120064
596.191406	-42.551132
596.923828	-41.479965
597.656250	-41.033260
598.388672	-41.616264
599.121094	-40.272148
599.853516	-40.794155
600.585938	-41.306030
601.318359	-41.491264
602.050781	-41.159904
602.783203	-41.593391
603.515625	-41.043930
604.248047	-41.116192
604.980469	-41.206146
605.712891	-41.024780
606.445312	-41.397301
607.177734	-41.497040
607.910156	-42.501667
608.642578	-41.550690
609.375000	-41.746716
610.107422	-40.601387
610.839844	-40.719330
611.572266	-40.976307
612.304688	-39.731255
613.037109	-38.574131
613.769531	-39.292267
614.501953	-38.480820
615.234375	-38.923164
615.966797	-40.011345
616.699219	-40.028130
617.431641	-39.742039
618.164062	-38.120705
618.896484	-38.004608
619.628906	-38.912189
620.361328	-38.218628
621.093750	-38.435223
621.826172	-37.891991
622.558594	-37.881054
623.291016	-37.033310
624.023438	-38.076515
624.755859	-37.061390
625.488281	-37.617199
626.220703	-38.192436
626.953125	-38.590885
627.685547	-38.410671
628.417969	-38.661026
629.150391	-39.243507
629.882812	-40.132614
630.615234	-40.474922
631.347656	-40.351849
632.080078	-40.351089
632.812500	-40.993702
633.544922	-40.886414
634.277344	-41.681168
635.009766	-41.256973
635.742188	-41.192551
636.474609	-40.937115
637.207031	-40.347065
637.939453	-40.365025
638.671875	-40.109280
639.404297	-40.630035
640.136719	-40.909805
640.869141	-41.527374
641.601562	-41.548019
642.333984	-41.674229
643.066406	-41.200371
643.798828	-42.756657
644.531250	-42.963165
645.263672	-42.215481
645.996094	-43.066799
646.728516	-42.779125
647.460938	-43.339222
648.193359	-43.391930
648.925781	-42.960880
649.658203	-43.334873
650.390625	-42.894791
651.123047	-42.601295
651.855469	-41.424759
652.587891	-41.814644
653.320312	-41.617325
654.052734	-41.299259
654.785156	-42.941978
655.517578	-41.701889
656.250000	-42.724659
656.982422	-44.112682
657.714844	-43.643227
658.447266	-44.552490
659.179688	-44.017109
659.912109	-44.634716
660.644531	-44.918419
661.376953	-45.000732
662.109375	-44.680534
662.841797	-43.483578
663.574219	-43.347710
664.306641	-43.532921
665.039062	-43.001171
665.771484	-42.166096
666.503906	-42.944004
667.236328	-41.818588
667.968750	-41.907215
668.701172	-42.580860
669.433594	-43.251595
670.166016	-42.827374
670.898438	-42.943546
671.630859	-41.493195
672.363281	-42.644222
673.095703	-42.831390
673.828125	-43.046310
674.560547	-43.786903
675.292969	-43.546604
676.025391	-43.841469
676.757812	-44.394070
677.490234	-43.744125
678.222656	-44.031536
678.955078	-43.922398
679.687500	-43.293682
680.419922	-42.363293
681.152344	-41.338570
681.884766	-42.913498
682.617188	-45.107647
683.349609	-44.231796
684.082031	-42.473782
684.814453	-43.256737
685.546875	-43.869995
686.279297	-46.516567
687.011719	-46.028912
687.744141	-47.533321
688.476562	-45.660858
689.208984	-44.985828
689.941406	-44.070908
690.673828	-44.154621
691.406250	-43.715195
692.138672	-43.156185
692.871094	-43.190815
693.603516	-41.726494
694.335938	-42.208435
695.068359	-41.994343
695.800781	-41.735962
696.533203	-42.419640
697.265625	-42.127247
697.998047	-42.022396
698.730469	-42.458130
699.462891	-43.211521
700.195312	-42.589291
700.927734	-42.580807
701.660156	-42.327511
702.392578	-43.678108
703.125000	-43.782497
703.857422	-42.662716
704.589844	-43.555378
705.322266	-42.505211
706.054688	-42.605904
706.787109	-41.998245
707.519531	-43.116104
708.251953	-43.510349
708.984375	-43.991142
709.716797	-44.964603
710.449219	-45.570412
711.181641	-45.425495
711.914062	-46.051846
712.646484	-45.843094
713.378906	-45.740860
714.111328	-46.644978
714.843750	-45.462826
715.576172	-45.416714
716.308594	-45.397175
717.041016	-45.628048
717.773438	-44.716282
718.505859	-43.978962
719.238281	-44.089287
719.970703	-43.291241
720.703125	-43.509815
721.435547	-43.326626
722.167969	-43.590977
722.900391	-43.869862
723.632812	-44.760124
724.365234	-44.808395
725.097656	-45.472324
725.830078	-45.673820
